time,open,high,low,close,tick_volume,spread,real_volume
1614931200,1.19596,1.19599,1.19562,1.19571,594,1,0
1614932100,1.19573,1.19587,1.19558,1.19564,417,1,0
1614933000,1.19564,1.19574,1.19544,1.19566,444,1,0
1614933900,1.19566,1.19577,1.19529,1.19533,414,1,0
1614934800,1.19534,1.19571,1.1948400000000001,1.19569,1114,1,0
1614935700,1.19568,1.19595,1.19524,1.19567,916,1,0
1614936600,1.19568,1.19594,1.19536,1.19593,909,1,0
1614937500,1.19592,1.19607,1.1948699999999999,1.19504,1049,1,0
1614938400,1.19502,1.19527,1.19319,1.19322,1814,1,0
1614939300,1.19323,1.19342,1.19241,1.19279,1471,1,0
1614940200,1.1928,1.19346,1.19242,1.19251,1122,1,0
1614941100,1.19253,1.19296,1.1914,1.1926700000000001,1524,1,0
1614942000,1.1926700000000001,1.19382,1.19244,1.19269,1635,1,0
1614942900,1.1926700000000001,1.19327,1.1924,1.1926700000000001,1491,1,0
1614943800,1.19269,1.19302,1.19208,1.19257,1346,1,0
1614944700,1.19257,1.19301,1.19226,1.19279,970,1,0
1614945600,1.19278,1.19346,1.19272,1.19344,850,1,0
1614946500,1.19344,1.19396,1.19296,1.19378,885,1,0
1614947400,1.19378,1.19424,1.19331,1.19411,1010,1,0
1614948300,1.1941,1.1942300000000001,1.1929400000000001,1.19302,804,1,0
1614949200,1.19305,1.19354,1.1926700000000001,1.1927699999999999,732,1,0
1614950100,1.1927699999999999,1.19306,1.19228,1.19305,607,1,0
1614951000,1.1930399999999999,1.1939,1.19263,1.1932800000000001,1530,1,0
1614951900,1.1932800000000001,1.19394,1.19314,1.19317,1180,1,0
1614952800,1.19317,1.19388,1.19307,1.19376,828,1,0
1614953700,1.19376,1.19433,1.19346,1.19427,942,1,0
1614954600,1.19427,1.19428,1.19341,1.19372,1138,1,0
1614955500,1.19372,1.19372,1.193,1.19354,1211,1,0
1614956400,1.19354,1.19412,1.19341,1.19376,1303,1,0
1614957300,1.19377,1.19395,1.1934,1.1936499999999999,1117,1,0
1614958200,1.19364,1.19364,1.1892800000000001,1.19229,4315,1,0
1614959100,1.19228,1.19295,1.19167,1.19179,2871,1,0
1614960000,1.19178,1.19372,1.19153,1.19344,2337,1,0
1614960900,1.19344,1.19463,1.19319,1.1941,2941,1,0
1614961800,1.1941,1.19419,1.1918199999999999,1.19256,2610,1,0
1614962700,1.19258,1.19262,1.19088,1.19158,2492,1,0
1614963600,1.19157,1.19238,1.19068,1.1914,2587,1,0
1614964500,1.19139,1.19288,1.19137,1.19209,2649,1,0
1614965400,1.19209,1.19288,1.19134,1.19191,2516,1,0
1614966300,1.19191,1.1926700000000001,1.19062,1.19067,2627,1,0
1614967200,1.19067,1.19142,1.19061,1.19106,1991,1,0
1614968100,1.19106,1.19169,1.19067,1.19088,1805,1,0
1614969000,1.19088,1.19173,1.19076,1.19154,1842,1,0
1614969900,1.19154,1.19154,1.1907,1.19137,1350,1,0
1614970800,1.19136,1.19147,1.19077,1.19144,1380,1,0
1614971700,1.19144,1.19194,1.19103,1.19116,1223,1,0
1614972600,1.19115,1.19142,1.19052,1.1911100000000001,1038,1,0
1614973500,1.1911100000000001,1.1915,1.19095,1.19119,1193,1,0
1614974400,1.19119,1.19154,1.19052,1.19089,1483,1,0
1614975300,1.19089,1.19148,1.19083,1.19106,1266,1,0
1614976200,1.19107,1.1918199999999999,1.19107,1.19139,844,1,0
1614977100,1.19139,1.19159,1.19117,1.19131,690,1,0
1614978000,1.19133,1.19154,1.1912,1.19123,835,1,0
1614978900,1.19124,1.19144,1.19075,1.19128,890,1,0
1614979800,1.19128,1.19162,1.19127,1.19157,329,1,0
1614980700,1.19157,1.19179,1.19125,1.19125,566,1,0
1614981600,1.19125,1.19146,1.19106,1.19127,447,1,0
1614982500,1.19126,1.19178,1.19126,1.1917,416,1,0
1614983400,1.19171,1.19205,1.1917,1.19193,537,1,0
1614984300,1.19193,1.19228,1.19159,1.19159,480,1,0
1614985200,1.19159,1.1919,1.1914500000000001,1.19175,317,1,0
1614986100,1.19175,1.19179,1.19143,1.19168,212,1,0
1614987000,1.19167,1.19197,1.19167,1.19176,209,2,0
1614987900,1.19175,1.19183,1.19115,1.1912,461,1,0
1615161600,1.19166,1.19181,1.19163,1.19173,83,8,0
1615162500,1.19173,1.19183,1.19169,1.1917200000000001,78,6,0
1615163400,1.19173,1.19225,1.19167,1.19191,66,20,0
1615164300,1.19192,1.19212,1.1918199999999999,1.1918199999999999,119,25,0
1615165200,1.1918199999999999,1.19297,1.19164,1.19245,1468,1,0
1615166100,1.19245,1.1932,1.1923,1.19293,1037,1,0
1615167000,1.1929400000000001,1.19307,1.1924,1.19262,896,1,0
1615167900,1.19263,1.1926700000000001,1.19211,1.19263,821,1,0
1615168800,1.19263,1.19263,1.19196,1.192,963,1,0
1615169700,1.192,1.19262,1.19183,1.1925,753,1,0
1615170600,1.19249,1.1930399999999999,1.1924,1.19296,520,1,0
1615171500,1.19296,1.19321,1.19259,1.19259,777,1,0
